00000000,none,0.0,0,Genesis
a994a1131c4adb15b6c72ed88a15dde6d6f11c5bae77beb6cfdece642148bdf9,cc15d36f942707c51490760d2389d55d5167b14089d896fb33cf2ea80d1eb5bf,190.45936126817412,14,1
569d5c7155eaa28648398a4bf66946fc8c73d6a61cdca1cfb99ea14069460418,a994a1131c4adb15b6c72ed88a15dde6d6f11c5bae77beb6cfdece642148bdf9,205.70112470453432,15,1
6b1d3e2e2039846c198bf944fb1b6b1f933b2f471c5cebd459c57d5457153f88,569d5c7155eaa28648398a4bf66946fc8c73d6a61cdca1cfb99ea14069460418,213.08719194049027,16,1
6c62162ca85b415399347e80aec771cf98c5c312722cd45f1da05faf3f894bc5,6b1d3e2e2039846c198bf944fb1b6b1f933b2f471c5cebd459c57d5457153f88,269.6517418670071,17,1
0be474440751487a02988b28b5d3a6fabb65787de58b5a59fffdab78ff7e81aa,6b1d3e2e2039846c198bf944fb1b6b1f933b2f471c5cebd459c57d5457153f88,223.90626325213952,17,0
7bd7b8daba229f41fbd11ff60c3feb2fb4a3fbf90ffaf5783bd1faceecebb68e,6c62162ca85b415399347e80aec771cf98c5c312722cd45f1da05faf3f894bc5,291.4921200965412,18,1
eb01f064c95d84d16d3e98a4b6a8f9d5de26ae0c9eb4c8c2ce8492a139848774,0be474440751487a02988b28b5d3a6fabb65787de58b5a59fffdab78ff7e81aa,229.70973914841778,18,0
fc9358f69fce232abb0bba4499f79f52f1aa4dd93c36804904646871697fdb43,7bd7b8daba229f41fbd11ff60c3feb2fb4a3fbf90ffaf5783bd1faceecebb68e,292.30552810082054,19,1
3feda91ec7b2612b12388d0b6f9b178e4230950ebf8ec1463971c395bccdff1c,eb01f064c95d84d16d3e98a4b6a8f9d5de26ae0c9eb4c8c2ce8492a139848774,237.85606533128762,19,0
1edcdf7184aa3fab2be72fbac124709a610299d883953d836184e85e4477e9d7,3feda91ec7b2612b12388d0b6f9b178e4230950ebf8ec1463971c395bccdff1c,264.9406506262214,20,0
afa05bfbe27bf697f3676f7281398c56c03faefd7b76cfe77cbd6a4dca10e287,1edcdf7184aa3fab2be72fbac124709a610299d883953d836184e85e4477e9d7,314.15927070500015,21,1
